run_id,score,threshold,bad_state_multiplier,lookback_rebalances,min_history_rebalances,annualized_return,sharpe_ratio,max_drawdown,signal_gate_active_rate
53,3.553102681175094,0.01,0.45,12,6,0.4362921208081705,1.381398271498361,-0.3542681333888458,0.1651376146788991
84,3.5514363826328754,0.02,0.2,20,8,0.41801025914363876,1.384561174198161,-0.35434694826946056,0.21100917431192662
72,3.550656119948524,0.015,0.35,20,8,0.4298519288122473,1.3821473050182258,-0.35426105701046395,0.1834862385321101
94,3.5484158954558858,0.02,0.45,12,8,0.4313186850290158,1.380140032643064,-0.3550834941620232,0.21100917431192662
6,3.5471387373957146,0.0,0.3,12,8,0.4356217282942103,1.378029216802349,-0.3542650023822309,0.12844036697247707
32,3.5471011308145446,0.005,0.35,20,8,0.43803153252786364,1.378886644675327,-0.3542650023822309,0.12844036697247707
50,3.5380948127917273,0.01,0.35,12,8,0.43556899144457795,1.3739105417042372,-0.3542650023822309,0.14678899082568808
52,3.5346879672680984,0.01,0.35,20,8,0.4332800996440047,1.3738362457920845,-0.3542650023822309,0.1559633027522936
5,3.531076234375484,0.0,0.3,12,6,0.4315931668518689,1.372595473285738,-0.3542652977908729,0.13761467889908258
74,3.530997553312715,0.015,0.45,12,8,0.4348465120273748,1.3720312174477058,-0.35480648679428883,0.1651376146788991
29,3.525674389396224,0.005,0.35,12,6,0.42928142703567507,1.37103111765402,-0.3542674328529867,0.1559633027522936
28,3.5178471953468327,0.005,0.3,20,8,0.4333694728852704,1.3672801480199026,-0.3542650023822309,0.12844036697247707
68,3.513404748366135,0.015,0.3,20,8,0.4239291759240662,1.3672923900048344,-0.3542614042300798,0.1834862385321101
46,3.5014530177344376,0.01,0.3,12,8,0.4299988517514439,1.3592061438786491,-0.3542650023822309,0.14678899082568808
93,3.4990006267404805,0.02,0.45,12,6,0.4216408921108561,1.3618678501612524,-0.35509030030887156,0.22935779816513763
48,3.4980443997150763,0.01,0.3,20,8,0.42756341444817414,1.3591974516955079,-0.3542650023822309,0.1559633027522936
71,3.4904642117642135,0.015,0.35,20,6,0.41833621292703427,1.3598009783255838,-0.3542591739895513,0.2018348623853211
25,3.4896051968951163,0.005,0.3,12,6,0.4234319024219224,1.3566673119442336,-0.3542664270744662,0.1559633027522936
22,3.4886496662611526,0.005,0.2,12,8,0.4256885451602239,1.354360261588486,-0.3542650023822309,0.13761467889908258
31,3.486961954182793,0.005,0.35,20,6,0.42645635964503215,1.3565570200539283,-0.3542674328529867,0.14678899082568808
73,3.48136250410216,0.015,0.45,12,6,0.425135244842332,1.353663218210944,-0.35481397709342044,0.1834862385321101
2,3.4790756540934256,0.0,0.2,12,8,0.42527349797224967,1.3507527332372438,-0.3542650023822309,0.12844036697247707
83,3.478702508590046,0.02,0.2,20,6,0.4044969651774819,1.35743019403067,-0.3543425863793185,0.22935779816513763
49,3.4779638175024665,0.01,0.35,12,6,0.42401357669187223,1.3515750497345989,-0.3542674328529867,0.1651376146788991
90,3.4777383984286443,0.02,0.35,12,8,0.4194668366435368,1.352145094134766,-0.3552991591891451,0.21100917431192662
51,3.474602683253508,0.01,0.35,20,6,0.4217431694225786,1.3515188581761743,-0.3542674328529867,0.1743119266055046
24,3.4619767228152147,0.005,0.2,20,8,0.4247987664662094,1.345004728630769,-0.3542650023822309,0.12844036697247707
1,3.461406298106186,0.0,0.2,12,6,0.42095006244357025,1.3447146891285258,-0.3542646372571733,0.13761467889908258
70,3.4566891511905258,0.015,0.35,12,8,0.4229076654587316,1.3424449083148,-0.3550063525261996,0.1651376146788991
27,3.4530047994416595,0.005,0.3,20,6,0.42103780467396845,1.3431405058218422,-0.3542664270744662,0.14678899082568808
